WeiboID,正文,日期,点赞数,评论数,转发数,话题,Time
36氪,"【#众多科学家离开X转向其他社交平台#，超过47%的人表示已经减少了对该网站的使用】据IT之家，《自然》杂志对数千名科学家进行的调查显示，自从埃隆・马斯克去年收购了Twitter并更名为X后，使用Twitter的科学家们有一半以上减少了使用该平台的时间或者完全退出了。近一半的受访者表示，他们转向了其他社交网络，如Mastodon。在接受调查的9,200名研究人员中，超过47%的人表示他们已经减少了对该网站的使用，而近7%的人表示完全退出了该网站。值得注意的是，几乎相同的数字显示他们去年在至少一个新平台上开设了账户。其中，自马斯克宣布收购Twitter以来, Mastodon的增长显著，大约47%的研究人员表示，他们在去年开始使用这个开源平台。LinkedIn和Instagram是第二受欢迎的网站，分别吸引了35%和27%的研究人员。有趣的是，Meta的Twitter竞争对手Threads排名第四，尽管该应用在《自然》杂志进行民意调查前几天才推出。Twitter曾经是科学家们用于宣传研究成果和促进科学讨论重要的平台，Twitter上的科学家们也是一个权威的信息来源，对于一个长期面临虚假信息问题的平台来说，这是非常有价值的。对于无数研究从公共卫生到语言学等各个领域的研究人员来说，Twitter也是一个宝贵的数据来源。但是这些现在都发生了变化。许多用户感觉他们在一个优先考虑付费认证用户内容的平台上被淹没了，而且该公司对研究人员开放的API也变得非常昂贵，以至于大多数人无法使用。因此，虽然不是所有接受《自然》采访的科学家都准备完全放弃Twitter，但似乎该公司的策略已经疏远了大部分科学界。",2023-08-17,9,0,3,众多科学家离开X转向其他社交平台,2023-08-17 20:30:00
36氪,【未来十年，智能终端如何改变你我？| 看⻅2033】放眼未来十年，智能终端还有怎样的潜力？该如何挖潜，寻找下一次的爆发机遇？这是科技企业进入AI时代的资格赛考题，也是掌舵者们领航时的必答题。在与36氪的三边对话中，小米集团合伙人、总裁卢伟冰表示，AI是未来的生产力，也是小米长期持续投入的底层赛道之一。小米选择对人类文明有长期价值的技术领域，坚持长期持续投入。只有这样，才能构建核心竞争力和护城河，做出感动人心、价格厚道的好产品，让全球每个人都能享受科技带来的美好生活，真正成为一家伟大的科技企业。在京东零售CEO辛利军看来，未来的智能生活，一定是零售商与品牌商的合作、高新技术与制造业的合作、企业与消费者的合作下，共同创造的智能生活。详情请阅读： 未来十年，智能终端如何改变你我？| 看⻅2033,2023-08-17,368,16,202,,2023-08-17 20:00:03
36氪,【#水煮是鸡蛋最佳吃法#，#鸡蛋一天最多让吃几个#？】据生命时报，2021年，中国医学科学院阜外医院顾东风院士团队发表分析结果提示，对于中国成年人来说，每周吃3~6个鸡蛋，可明显改善血脂代谢。现阶段，我国饮食指南建议每天吃一个鸡蛋，蛋白蛋黄都要吃。鸡蛋是最接近完美的食物，几乎包含生命需要的所有重要营养素，水煮是鸡蛋的最佳吃法。煮蛋时，建议水沸后，再小火煮5分钟，过久易造成蛋白质过分凝固，胆固醇、脂肪酸氧化。据智慧科技迷，一个由北京大学领导的国际研究团队进行了一项基于人群的研究，结果表明，适量食用鸡蛋可以增加血液中心心脏健康代谢物的含量，每天最多吃一个鸡蛋可能有助于降低患心血管疾病的风险。相关研究结果已经发表在5月24日的《电子生活》（eLife）杂志上。,2023-08-17,11,3,2,"水煮是鸡蛋最佳吃法,鸡蛋一天最多让吃几个",2023-08-17 19:30:00
36氪,36氪在今年年初，利用人工智能技术开了一家淘宝店，那么我们是如何实现的？有哪些部分应用到了人工智能？真人直播和数字人直播的点击率、转化率有何差距？消费者现阶段会更倾向于哪种直播类型？8月17日（周四）19点，本期CEO锦囊邀请到了硅基智能创始人兼CEO司马华鹏，乐宾科技创始人Alence Lee，明略科技副总裁、秒针营销科学院院长 谭北平以及36氪AI淘宝店项目负责人骆若男，做客氪星直播间。一起聊聊：“0成本开淘宝店，可能吗？”欢迎收看！  36氪的微博直播,2023-08-17,5,2,0,,2023-08-17 19:00:53
36氪,【#X平台应用图标又变了#：图标添加了破损效果】#众多科学家离开X转向其他社交平台# 据IT之家消息，马斯克最近对该平台进行了一系列的改革，包括更名为X，以及更换新的应用图标。近日网友发现，X App的图标又有了些许变化。这次的变化是在黑色背景上加了一些白色的“破损”效果，似乎是想表达一种“垃圾”风格。但是，这种设计看起来并不时髦，反而像是在拼命迎合年轻人的口味。用户们纷纷在X上嘲讽这种“装酷”的尝试，认为这与X原来的小鸟图标相比简直是天壤之别。马斯克却对此表示，“这些裂缝和划痕更能代表我所爱的这个产品。”但显然，大多数用户并不买账，他们认为此次品牌重塑似乎没有什么规划和逻辑，只是随心所欲地进行变动。此前，据《自然》杂志对数千名科学家进行的调查显示，自从埃隆・马斯克去年收购了Twitter并更名为X后，使用Twitter的科学家们有一半以上减少了使用该平台的时间或者完全退出了。近一半的受访者表示，他们转向了其他社交网络，如Mastodon。,2023-08-17,6,2,0,"X平台应用图标又变了,众多科学家离开X转向其他社交平台",2023-08-17 19:00:00
36氪,【#花两万买了月薪2200的实习生身份#：#机构称付费实习录用率高达95%#】 据凤凰网财经，2023年7月29日，王可接到一个电话询问是否需要帮忙找实习。王可已经大三了，正想趁着暑期找份实习工作。她添加了对方的微信好友，很快收到一则招聘信息。这份内推工作，需要花费19800元，而实习月薪只有2200。原本作为学校与职场过渡阶段的实习，在就业低迷潮之下，已经成为一门暴利的生意。中介机构开出的每份实习工作，报价从几千至几万元不等；职业内推人，每推荐一人成功入职，最高获得8000元佣金。大二、非名校、0经验、金融学的背景下，多家机构报价两万多，才能获得四大会计师事务所（德勤、普华永道、毕马威、安永）实习的机会。一家留学机构的顾问称，留学机构和企业有过多年的合作，彼此已经有了固定的联系，如果无需经过企业HR的话，机构可直接与企业项目负责人对接，在三个工作日内，安排完成面试，再最终敲定。“因此实习录用率高达95%”。,2023-08-17,3,3,3,"花两万买了月薪2200的实习生身份,机构称付费实习录用率高达95%",2023-08-17 18:40:00
36氪,#2分钟读懂风险社会下的「组织韧性」# 韧，柔而固也。在无常成为恒常的时代，为了组织的生存与发展，组织韧性成为每个企业不可或缺的“内功”。「韧者行远」WISE2023新人力时代大会，36氪携旗下职场风向报道@职场Bonus，邀请各行业的人力资源专家、企业家、学者、从业者分享经历与洞察，探讨风险社会的环境下，企业及个人如何以韧性的姿态，保持组织在风险社会的新形势下顺风而行。大会报名戳评论区链接，期待8月30日现场相见！ 36氪的微博视频,2023-08-17,1,1,0,2分钟读懂风险社会下的「组织韧性」,2023-08-17 18:31:12
36氪,【#婚礼视频存QQ空间10年突然消失# ，当事人：我还是9级黄钻】#腾讯客服回应QQ空间视频消失#据西部决策报道，8月17日，吉林长春，女子娜美（化名）反映，在QQ空间保存10年的婚礼视频全部消失，显示“该视频被外星人劫走，暂时看不了”。娜美称，自己是9级黄钻用户，并未主动点删除。据财经网科技，对于QQ空间视频/图片消失相关问题，腾讯客服回复称：请检查视频/照片是否已删除，若非自己操作，可能是号码被盗被人恶意删除，出现该情况请安全保护您的账号，若在删除前已经开通了相册的回收站可以进入回收站查看恢复您需要的信息，若未开通回收站或回收站内也已经删除，暂时无其他方式可以恢复。,2023-08-17,6,1,1,"婚礼视频存QQ空间10年突然消失,腾讯客服回应QQ空间视频消失",2023-08-17 18:00:00
36氪,【#首次证明猪肾移植人体后可维持生命#】据智慧科技迷消息，一个多世纪以来，科学家一直试图将动物肾器官移植到人体中，但从未能让这些器官发挥作用，维持生命。现在，有两项实验表明，猪肾人体移植后可长久维持生命。两项试验均是将猪肾移植到脑死亡患者中，其中一个整整维持一周的复杂生命功能。另一个在32天后依然保持良好的工作状态，目前科学家正跟踪第二个月的表现，这是同类试验中维持最久的。或许即将开启器官移植的新篇章。智慧科技迷的微博视频,2023-08-17,5,1,0,首次证明猪肾移植人体后可维持生命,2023-08-17 17:30:00
36氪,【#氪星播报#｜8月17日午间都有哪些#今日大事件#？】Top3大新闻1、#阿斯巴甜换名字了#，改为其学名天门冬酰苯丙氨酸甲酯2、#铁路部门规范车站多功能座椅数量#：不得超过全部的20%3、#调查称30岁以上租客显著增加#，#你能接受30岁还在租房吗#科技财经互联网热点1、2023Q2美国以旧换新手机报告：#iPhone抵扣价值接近安卓机3倍#2、#数码相机卖不动了吗#，#你还用相机拍照吗#3、英国伦敦国王学院的科学家：#研究称周末睡懒觉或损害健康#4、#Nature发文称LK99不是超导体#：#LK99超导假象是杂质引起的#还有哪些其他要闻1、2名10岁女孩将走失的2岁孩子送到派出所：“#警察叔叔我们捡到一个小妹妹#”2、#12306回应母亲带病儿买三张票#：因特殊原因多买票是允许的3、#老头乐刮蹭450万法拉利被索赔190元#，当事人：老人行车不规范4、#广州现大量残破玩偶呼吁保护动物#：小动物不是玩物，虐待动物需要付出代价5、#7岁体操小将首次参赛夺7枚奖牌#，4岁就进入体校练习体操6、#主人花100元雇人背狗上山引争议# ，网友：主人心疼狗但这种方式不可取7、#被姥姥养大的男孩从倒一逆袭上大学# ：未来想当一名军人保家卫国8、#网友提醒警惕迪拜高薪工作诱惑#，#女子被迪拜诈骗集团骗走580万卖房款#9、#为流量摆拍造谣短视频4人被行拘#，该账号已被注销10、“一寸缂丝一寸金”，缂丝是#不能被机器替代的织造工艺#,2023-08-17,3,0,0,"氪星播报,今日大事件,阿斯巴甜换名字了,铁路部门规范车站多功能座椅数量,调查称30岁以上租客显著增加,你能接受30岁还在租房吗,iPhone抵扣价值接近安卓机3倍,数码相机卖不动了吗,你还用相机拍照吗,研究称周末睡懒觉或损害健康,Nature发文称LK99不是超导体,LK99超导假象是杂质引起的,警察叔叔我们捡到一个小妹妹,12306回应母亲带病儿买三张票,老头乐刮蹭450万法拉利被索赔190元,广州现大量残破玩偶呼吁保护动物,7岁体操小将首次参赛夺7枚奖牌,主人花100元雇人背狗上山引争议,被姥姥养大的男孩从倒一逆袭上大学,网友提醒警惕迪拜高薪工作诱惑,女子被迪拜诈骗集团骗走580万卖房款,为流量摆拍造谣短视频4人被行拘,不能被机器替代的织造工艺",2023-08-17 17:00:01
